Date,AAPL,DIS
2020-02-03,76.3901596069336,141.32000732421875
2020-02-04,78.91207885742188,144.72999572753906
2020-02-05,79.55554962158203,141.3699951171875
2020-02-06,80.4861068725586,142.6999969482422
2020-02-07,79.39208984375,141.02000427246094
2020-02-10,79.7691650390625,142.58999633789062
2020-02-11,79.28788757324219,141.00999450683594
2020-02-12,81.1707992553711,141.85000610351562
2020-02-13,80.5927734375,140.89999389648438
2020-02-14,80.61262512207031,139.5399932861328
2020-02-18,79.13656616210938,139.13999938964844
2020-02-19,80.28268432617188,141.3000030517578
2020-02-20,79.45906829833984,140.3699951171875
2020-02-21,77.66050720214844,138.97000122070312
2020-02-24,73.97160339355469,133.00999450683594
2020-02-25,71.46601867675781,128.19000244140625
2020-02-26,72.59973907470703,123.36000061035156
2020-02-27,67.85401916503906,118.04000091552734
2020-02-28,67.8143310546875,117.6500015258789
2020-03-02,74.12789154052734,119.9800033569336
2020-03-03,71.77363586425781,116.44999694824219
2020-03-04,75.10282897949219,119.18000030517578
2020-03-05,72.6667251586914,113.9800033569336
2020-03-06,71.70170593261719,115.2699966430664
2020-03-09,66.03065490722656,104.3499984741211
2020-03-10,70.78630065917969,111.45999908447266
2020-03-11,68.3278579711914,105.51000213623047
2020-03-12,61.58015823364258,91.80999755859375
2020-03-13,68.95796966552734,102.5199966430664
2020-03-16,60.08673095703125,95.01000213623047
2020-03-17,62.72875213623047,93.52999877929688
2020-03-18,61.19315719604492,88.80000305175781
2020-03-19,60.72429275512695,94.93000030517578
2020-03-20,56.869178771972656,85.9800033569336
2020-03-23,55.661041259765625,85.76000213623047
2020-03-24,61.24525833129883,98.12000274658203
2020-03-25,60.90787124633789,100.7300033569336
2020-03-26,64.11302947998047,105.36000061035156
2020-03-27,61.45860290527344,96.4000015258789
2020-03-30,63.212501525878906,99.80000305175781
2020-03-31,63.08350372314453,96.5999984741211
2020-04-01,59.76424026489258,94.91999816894531
2020-04-02,60.76150131225586,96.97000122070312
2020-04-03,59.888275146484375,93.87999725341797
2020-04-06,65.1127700805664,99.58000183105469
2020-04-07,64.35862731933594,101.23999786376953
2020-04-08,66.00585174560547,101.06999969482422
2020-04-09,66.4821548461914,104.5
2020-04-13,67.78704071044922,103.5
2020-04-14,71.21049499511719,106.02999877929688
2020-04-15,70.56053924560547,103.37000274658203
2020-04-16,71.12120056152344,102.0199966430664
2020-04-17,70.15617370605469,106.62999725341797
2020-04-20,68.6999740600586,102.26000213623047
2020-04-21,66.57642364501953,100.54000091552734
2020-04-22,68.49406433105469,100.98999786376953
2020-04-23,68.22862243652344,101.0
2020-04-24,70.19834899902344,101.19000244140625
2020-04-27,70.24797058105469,106.05999755859375
2020-04-28,69.10929870605469,106.20999908447266
2020-04-29,71.37919616699219,112.25
2020-04-30,72.88502502441406,108.1500015258789
2020-05-01,71.71163177490234,105.5
2020-05-04,72.72626495361328,103.18000030517578
2020-05-05,73.81780242919922,101.05999755859375
2020-05-06,74.57939147949219,100.87999725341797
2020-05-07,75.35091400146484,105.56999969482422
2020-05-08,77.14439392089844,109.16000366210938
2020-05-11,78.35828399658203,107.7699966430664
2020-05-12,77.4627914428711,104.55999755859375
2020-05-13,76.52749633789062,102.91999816894531
2020-05-14,76.99763488769531,105.91000366210938
2020-05-15,76.54241180419922,109.05000305175781
2020-05-18,78.3458480834961,116.8499984741211
2020-05-19,77.89312744140625,114.37000274658203
2020-05-20,79.40800476074219,119.91999816894531
2020-05-21,78.81597900390625,117.83000183105469
2020-05-22,79.32343292236328,118.0199966430664
2020-05-26,78.7861328125,120.94999694824219
2020-05-27,79.12940216064453,121.52999877929688
2020-05-28,79.16423034667969,116.75
2020-05-29,79.08712005615234,117.30000305175781
2020-06-01,80.05972290039062,118.7699966430664
2020-06-02,80.43035125732422,118.75
2020-06-03,80.87313079833984,122.18000030517578
2020-06-04,80.1766357421875,123.69000244140625
2020-06-05,82.46015167236328,124.81999969482422
2020-06-08,82.94768524169922,127.27999877929688
2020-06-09,85.56700897216797,123.88999938964844
2020-06-10,87.76844024658203,122.18000030517578
2020-06-11,83.55464172363281,112.63999938964844
2020-06-12,84.27600860595703,115.48999786376953
2020-06-15,85.3182601928711,117.08000183105469
2020-06-16,87.57939147949219,118.44000244140625
2020-06-17,87.45750427246094,117.6500015258789
2020-06-18,87.4923324584961,118.37000274658203
2020-06-19,86.99234771728516,114.3499984741211
2020-06-22,89.26839447021484,115.91999816894531
2020-06-23,91.1738052368164,116.58999633789062
2020-06-24,89.56440734863281,112.06999969482422
2020-06-25,90.75342559814453,111.36000061035156
2020-06-26,87.96495056152344,109.0999984741211
2020-06-29,89.99225616455078,111.5199966430664
2020-06-30,90.74346923828125,111.51000213623047
2020-07-01,90.57183837890625,113.01000213623047
2020-07-02,90.57183837890625,112.18000030517578
2020-07-06,92.9946517944336,114.43000030517578
2020-07-07,92.70609283447266,113.62999725341797
2020-07-08,94.865234375,116.66000366210938
2020-07-09,95.273193359375,116.80999755859375
2020-07-10,95.4398422241211,119.33999633789062
2020-07-13,94.99955749511719,116.22000122070312
2020-07-14,96.5716552734375,118.66000366210938
2020-07-15,97.23580932617188,120.9000015258789
2020-07-16,96.0393295288086,119.43000030517578
2020-07-17,95.84529876708984,118.6500015258789
2020-07-20,97.86514282226562,117.79000091552734
2020-07-21,96.51444244384766,118.62000274658203
2020-07-22,96.78556823730469,119.02999877929688
2020-07-23,92.38023376464844,118.12000274658203
2020-07-24,92.15138244628906,117.61000061035156
2020-07-27,94.33539581298828,116.30999755859375
